pk_code_agence,nom_agence,reseau_agence,nom_ville,agence_destinataire
1,HIPPODROME,YAOUNDE EST,Yaoundé,HIPPODROME
2,BONANJO,DOUALA SUD,Douala,BONANJO
3,BAFOUSSAM,OUEST,Bafoussam,BAFOUSSAM
4,NEW-BELL,DOUALA SUD,Douala,NEW-BELL
5,MESSA,YAOUNDE EST,Yaoundé,MESSA
6,DIRECTION GENERALE,AUTRE RESEAU,Yaoundé,DIRECTION GENERALE
7,BAMENDA,OUEST,Bamenda,BAMENDA
8,GAROUA,NORD,Garoua,GAROUA
9,DRI,AUTRE RESEAU,Yaoundé,DRI
10,RETRAITE,YAOUNDE EST,Yaoundé,RETRAITE
11,BUREAUDEPARIS,AUTRE RESEAU,Non défini,DIRECTION GENERALE
12,NKONGSAMBA,OUEST,Nkongsamba,NKONGSAMBA
13,KOUSSERI,NORD,Kousséri,KOUSSERI
14,POINTENOIRE,AUTRE RESEAU,Non défini,DIRECTION GENERALE
15,LIMBE,DOUALA NORD,Limbé,LIMBE
16,MBOPPI,DOUALA SUD,Douala,MBOPPI
17,AKWA,DOUALA SUD,Douala,AKWA
18,MAROUA,NORD,Maroua,MAROUA
19,NGAOUNDERE,NORD,Ngaoundéré,NGAOUNDERE
20,NDOKOTTI,DOUALA NORD,Douala,NDOKOTTI
21,ETOUDI,YAOUNDE EST,Yaoundé,ETOUDI
22,BONAMOUSSADI,DOUALA NORD,Douala,BONAMOUSSADI
23,AKWA MILLENIUM,DOUALA SUD,Douala,AKWA MILLENIUM
24,BIYEM-ASSI,YAOUNDE SUD,Yaoundé,BIYEM-ASSI
25,BESSENGUE,DOUALA SUD,Douala,BESSENGUE
26,MVOG-MBI,YAOUNDE SUD,Yaoundé,MVOG-MBI
27,BONABERI,DOUALA NORD,Douala,BONABERI
28,KRIBI,DOUALA NORD,Kribi,KRIBI
29,DAKAR,DOUALA SUD,Douala,DAKAR
30,DSCHANG,OUEST,Dschang,DSCHANG
31,BERTOUA,NORD,Bertoua,BERTOUA
32,MBOUDA,OUEST,Mbouda,MBOUDA
33,MIMBOMAN,YAOUNDE EST,Yaoundé,MIMBOMAN
34,MENDONG,YAOUNDE SUD,Yaoundé,MENDONG
35,KUMBA,DOUALA NORD,Kumba,KUMBA
36,BALENG,OUEST,Baleng,BALENG
37,EBOLOWA,YAOUNDE SUD,Ebolowa,EBOLOWA
38,BASTOS,YAOUNDE EST,Yaoundé,BASTOS
39,ESSOS,YAOUNDE EST,Yaoundé,ESSOS
40,MFOUNDI,YAOUNDE EST,Yaoundé,MFOUNDI
41,SAINT-MICHEL,DOUALA SUD,Douala,SAINT-MICHEL
42,FENETRE ISLAMIQUE YAOUNDE,FENETRE ISLAMIQUE,Yaoundé,FENETRE ISLAMIQUE YAOUNDE
43,MESSAMENDONGO,YAOUNDE SUD,Yaoundé,MESSAMENDONGO
44,CITE DES PALMIERS,DOUALA NORD,Douala,CITE DES PALMIERS
45,OMNISPORT,YAOUNDE EST,Yaoundé,OMNISPORT
46,MARCHE CENTRAL,YAOUNDE EST,Yaoundé,MARCHE CENTRAL
47,FENETRE ISLAMIQUE DOUALA,FENETRE ISLAMIQUE,Douala,FENETRE ISLAMIQUE DOUALA
55,OLEMBE,YAOUNDE EST,Yaoundé,OLEMBE
56,MELEN,YAOUNDE SUD,Yaoundé,MELEN
57,DAMAS,YAOUNDE SUD,Yaoundé,DAMAS
58,GUICHET ISLAMIQUE GAROUA,FENETRE ISLAMIQUE,Garoua,GUICHET ISLAMIQUE GAROUA
59,MAKEPE,DOUALA NORD,Douala,MAKEPE
60,YASSA,DOUALA SUD,Douala,YASSA
61,BONAPRISO,DOUALA SUD,Douala,BONAPRISO
62,MVAN,YAOUNDE SUD,Yaoundé,MVAN
63,NKOABANG,YAOUNDE EST,Yaoundé,NKOABANG
64,NKOLBISSON,YAOUNDE SUD,Yaoundé,NKOLBISSON
65,FOUMBOT,OUEST,Foumbot,FOUMBOT
66,NDOG-PASSI,DOUALA SUD,Douala,NDOG-PASSI
67,EDEA,DOUALA SUD,Edéa,EDEA
68,PAD,DOUALA SUD,Douala,PAD
69,BUEA,DOUALA NORD,Buea,BUEA
70,LOUM,OUEST,Loum,LOUM
71,BONABERI II,DOUALA NORD,Douala,BONABERI II
72,TAMDJA,OUEST,Bafoussam,TAMDJA
73,AHALA,YAOUNDE SUD,Yaoundé,AHALA
74,KOUMASSI,DOUALA SUD,Douala,KOUMASSI
75,BIYEM-ASSI II,YAOUNDE SUD,Yaoundé,BIYEM-ASSI II
76,SANGMELIMA,YAOUNDE SUD,Sangmélima,SANGMELIMA
77,PORT DE KRIBI,DOUALA NORD,Kribi,PORT DE KRIBI
78,DOUCHE MUNICIPALE,DOUALA SUD,Douala,DOUCHE MUNICIPALE
79,MOKOLO,YAOUNDE EST,Yaoundé,MOKOLO
80,BAMENDZI,OUEST,Bafoussam,BAMENDZI
81,CAMAIR,YAOUNDE EST,Yaoundé,CAMAIR
82,OBALA,YAOUNDE EST,Obala,OBALA
83,BEKOKO,DOUALA NORD,Douala,BEKOKO
84,PK14,DOUALA NORD,Douala,PK14
85,MFOU,YAOUNDE SUD,Yaoundé,MFOU
86,NKOLBONG,YAOUNDE SUD,Douala,NKOLBONG
87,AWAE,YAOUNDE SUD,Yaoundé,AWAE
88,YADEME,NORD,Bertoua,YADEME
89,MAROUA II,NORD,Maroua,MAROUA II
90,TRESORERIE CENTRALE,AUTRE RESEAU,Yaoundé,TRESORERIE CENTRALE
91,CTX CENTRE-SUD-EST-,AUTRE RESEAU,Yaoundé,CTX CENTRE-SUD-EST-
92,CTX LITTORAL-OUEST-,AUTRE RESEAU,Bafoussam,CTX LITTORAL-OUEST-
93,virtuelle,AUTRE RESEAU,Non défini,DIRECTION GENERALE
94,RDC,AUTRE RESEAU,Non défini,DIRECTION GENERALE
95,AGENCE VIRTUELLEFC,AUTRE RESEAU,Non défini,DIRECTION GENERALE
96,SAO TOME,AUTRE RESEAU,Non défini,DIRECTION GENERALE
97,CCEI-BANK GUINEE EQUATORIALE,AUTRE RESEAU,Non défini,DIRECTION GENERALE
98,DGC - STOCK FLASH CASH,AUTRE RESEAU,Non défini,DIRECTION GENERALE
99,SITE CENTRAL,AUTRE RESEAU,Yaoundé,SITE CENTRAL
100,LOGPOM,DOUALA NORD,Douala,LOGPOM
101,MEIGANGA,NORD,Meiganga,MEIGANGA
102,BATOURI,NORD,Batouri,BATOURI
103,GAROUA-BOULAI,NORD,Garoua-Boulaï,GAROUA-BOULAI
104,KOTTO-BANGUE,DOUALA NORD,Douala,KOTTO-BANGUE
105,BAMENDA-NKWEN,OUEST,Bamenda,BAMENDA-NKWEN
